                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5289,                  6.079,                 1.9375,                0.41448,                0.43373,                0.32746,                0.10899,                 2.5998,                 2.7342,                 1.9145,                 0.0829,                 0.0019,                 0.0019
                      1,                 2.1229,                 1.8959,                 1.5645,                0.56746,                0.50602,                0.46548,                0.15982,                 2.5168,                 1.5939,                 1.5847,               0.064868,              0.0038678,              0.0038678
                      2,                 2.0489,                 1.9816,                 1.4495,                0.55822,                0.49398,                0.44508,                0.15965,                 2.4298,                 1.8537,                 1.6179,               0.046803,              0.0058027,              0.0058027
                      3,                  1.914,                 1.7826,                 1.4173,                0.53886,                0.50602,                0.47383,                0.14494,                 2.4349,                 1.8052,                 1.8616,               0.028704,              0.0077045,              0.0077045
                      4,                 1.9445,                 2.0005,                 1.4428,                0.41397,                0.59036,                0.45078,                0.19001,                 2.0806,                 1.6791,                 1.5116,               0.010573,              0.0095733,              0.0095733
                      5,                 1.8919,                  1.795,                 1.3352,                0.58986,                0.59036,                 0.5379,                0.22268,                 1.9871,                 1.4741,                 1.3277,              0.0095875,              0.0095875,              0.0095875
                      6,                 1.9167,                  1.852,                 1.3481,                 0.3738,                0.38554,                0.28552,                0.11862,                 2.0742,                 2.0578,                 1.5188,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.9466,                 1.7789,                 1.4015,                0.53041,                0.51807,                0.52138,                0.21155,                 1.9164,                 2.0374,                 1.4438,               0.009505,               0.009505,               0.009505
                      8,                 1.7964,                 1.6076,                 1.3392,                 0.5613,                0.54217,                0.54608,                0.24594,                 1.9188,                 1.5753,                 1.4235,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.8541,                 1.7323,                 1.3277,                0.38445,                0.48914,                0.35039,                0.11746,                 2.5223,                   2.14,                 1.8102,                0.00934,                0.00934,                0.00934
                     10,                  1.847,                 1.5996,                 1.3388,                0.45037,                0.48193,                0.39404,                 0.1449,                 2.3164,                 2.5806,                 1.6319,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.8262,                  1.559,                 1.3224,                 0.5818,                 0.6747,                0.60005,                0.24266,                 1.8977,                 1.6928,                 1.5005,               0.009175,               0.009175,               0.009175
                     12,                  1.809,                 1.4735,                 1.3319,                0.49995,                0.54217,                0.47183,                0.20502,                 1.7026,                 1.6262,                 1.2804,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.7495,                 1.4123,                 1.3276,                0.55636,                0.62651,                0.50469,                0.20727,                 1.8306,                 1.4021,                 1.3339,                0.00901,                0.00901,                0.00901
                     14,                  1.721,                 1.3865,                  1.314,                0.62521,                0.58288,                0.58753,                0.25349,                 1.9127,                 1.4587,                 1.4294,              0.0089275,              0.0089275,              0.0089275
                     15,                   1.78,                  1.379,                 1.3526,                0.62292,                0.63692,                0.56913,                 0.2442,                 1.9075,                 1.3365,                 1.4426,               0.008845,               0.008845,               0.008845
                     16,                 1.7493,                 1.4097,                 1.3441,                0.68606,                0.61446,                0.61081,                0.25435,                  1.931,                  1.287,                 1.4914,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.7357,                 1.4002,                 1.3426,                0.64736,                0.68675,                0.58781,                0.22893,                 1.9499,                 1.6241,                 1.5834,                0.00868,                0.00868,                0.00868
                     18,                 1.7286,                 1.3347,                 1.3097,                0.68543,                0.72289,                0.63534,                0.24707,                  1.841,                 1.3873,                 1.4583,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.6825,                 1.3094,                 1.3039,                 0.6228,                0.60241,                0.61421,                0.23147,                 1.9852,                 1.2607,                  1.474,               0.008515,               0.008515,               0.008515
                     20,                 1.6965,                 1.2769,                 1.3115,                0.65462,                0.66265,                0.66687,                0.27322,                 1.8011,                 1.1256,                 1.3619,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.6441,                  1.254,                  1.266,                0.60085,                0.57831,                0.59717,                0.24731,                 1.6628,                 1.0944,                 1.2595,                0.00835,                0.00835,                0.00835
                     22,                 1.6715,                 1.2513,                 1.2796,                0.60942,                 0.6506,                0.57988,                0.22476,                 1.9318,                 1.3065,                 1.4595,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.6622,                  1.192,                 1.2789,                0.71489,                0.62651,                0.64248,                0.26612,                 1.9117,                 1.3337,                 1.5409,               0.008185,               0.008185,               0.008185
